trimestre,Tasa paro,fecha
2008T1,3.4,2008-03-31
,3.4,2008-04-30
,3.4,2008-05-31
2008T2,3.0,2008-06-30
,3.0,2008-07-31
,3.0,2008-08-31
2008T3,3.2,2008-09-30
,3.2,2008-10-31
,3.2,2008-11-30
2008T4,3.4,2008-12-31
,3.4,2009-01-31
,3.4,2009-02-28
2009T1,3.8,2009-03-31
,3.8,2009-04-30
,3.8,2009-05-31
2009T2,3.7,2009-06-30
,3.7,2009-07-31
,3.7,2009-08-31
2009T3,3.3,2009-09-30
,3.3,2009-10-31
,3.3,2009-11-30
2009T4,3.1,2009-12-31
,3.1,2010-01-31
,3.1,2010-02-28
2010T1,3.0,2010-03-31
,3.0,2010-04-30
,3.0,2010-05-31
2010T2,2.8,2010-06-30
,2.8,2010-07-31
,2.8,2010-08-31
2010T3,2.5,2010-09-30
,2.5,2010-10-31
,2.5,2010-11-30
2010T4,2.9,2010-12-31
,2.9,2011-01-31
,2.9,2011-02-28
2011T1,2.8,2011-03-31
,2.8,2011-04-30
,2.8,2011-05-31
2011T2,2.5,2011-06-30
,2.5,2011-07-31
,2.5,2011-08-31
2011T3,2.5,2011-09-30
,2.5,2011-10-31
,2.5,2011-11-30
2011T4,2.6,2011-12-31
,2.6,2012-01-31
,2.6,2012-02-29
2012T1,2.8,2012-03-31
,2.8,2012-04-30
,2.8,2012-05-31
2012T2,2.4,2012-06-30
,2.4,2012-07-31
,2.4,2012-08-31
2012T3,2.2,2012-09-30
,2.2,2012-10-31
,2.2,2012-11-30
2012T4,2.3,2012-12-31
,2.3,2013-01-31
,2.3,2013-02-28
2013T1,2.4,2013-03-31
,2.4,2013-04-30
,2.4,2013-05-31
2013T2,2.4,2013-06-30
,2.4,2013-07-31
,2.4,2013-08-31
2013T3,2.3,2013-09-30
,2.3,2013-10-31
,2.3,2013-11-30
2013T4,2.2,2013-12-31
,2.2,2014-01-31
,2.2,2014-02-28
2014T1,2.6,2014-03-31
,2.6,2014-04-30
,2.6,2014-05-31
2014T2,2.4,2014-06-30
,2.4,2014-07-31
,2.4,2014-08-31
2014T3,2.0,2014-09-30
,2.0,2014-10-31
,2.0,2014-11-30
2014T4,2.2,2014-12-31
,2.2,2015-01-31
,2.2,2015-02-28
2015T1,2.4,2015-03-31
,2.4,2015-04-30
,2.4,2015-05-31
2015T2,2.4,2015-06-30
,2.4,2015-07-31
,2.4,2015-08-31
2015T3,2.1,2015-09-30
,2.1,2015-10-31
,2.1,2015-11-30
2015T4,2.4,2015-12-31
,2.4,2016-01-31
,2.4,2016-02-29
2016T1,2.4,2016-03-31
,2.4,2016-04-30
,2.4,2016-05-31
2016T2,2.4,2016-06-30
,2.4,2016-07-31
,2.4,2016-08-31
2016T3,2.3,2016-09-30
,2.3,2016-10-31
,2.3,2016-11-30
2016T4,2.5,2016-12-31
