trimestre,Tasa paro,fecha
2008T1,5.2,2008-03-31
,,2008-04-30
,,2008-05-31
2008T2,5.1,2008-06-30
,,2008-07-31
,,2008-08-31
2008T3,5.5,2008-09-30
,,2008-10-31
,,2008-11-30
2008T4,4.7,2008-12-31
,,2009-01-31
,,2009-02-28
2009T1,4.2,2009-03-31
,,2009-04-30
,,2009-05-31
2009T2,4.7,2009-06-30
,,2009-07-31
,,2009-08-31
2009T3,5.2,2009-09-30
,,2009-10-31
,,2009-11-30
2009T4,4.5,2009-12-31
,,2010-01-31
,,2010-02-28
2010T1,4.2,2010-03-31
,,2010-04-30
,,2010-05-31
2010T2,5.0,2010-06-30
,,2010-07-31
,,2010-08-31
2010T3,5.0,2010-09-30
,,2010-10-31
,,2010-11-30
2010T4,4.4,2010-12-31
,,2011-01-31
,,2011-02-28
2011T1,4.6,2011-03-31
,,2011-04-30
,,2011-05-31
2011T2,5.0,2011-06-30
,,2011-07-31
,,
2011T3,5.0,
,,
,,
2011T4,3.9,
,,
,,
2012T1,4.7,
,,
,,
2012T2,4.9,
,,
,,
2012T3,5.1,
,,
,,
2012T4,4.4,
,,
,,
2013T1,4.7,
,,
,,
2013T2,4.5,
,,
,,
2013T3,4.8,
,,
,,
2013T4,4.2,
,,
,,
2014T1,4.1,
,,
,,
2014T2,4.6,
,,
,,
2014T3,5.3,
,,
,,
2014T4,5.0,
,,
,,
2015T1,5.2,
,,
,,
2015T2,4.9,
,,
,,
2015T3,5.3,
,,
,,
2015T4,4.7,
,,
,,
2016T1,5.4,
,,
,,
2016T2,5.5,
,,
,,
2016T3,5.6,
,,
,,
2016T4,5.1,
