trimestre,Tasa paro,fecha
2008T1,9.1,2008-03-31
,9.1,2008-04-30
,9.1,2008-05-31
2008T2,10.1,2008-06-30
,10.1,2008-07-31
,10.1,2008-08-31
2008T3,9.0,2008-09-30
,9.0,2008-10-31
,9.0,2008-11-30
2008T4,8.6,2008-12-31
,8.6,2009-01-31
,8.6,2009-02-28
2009T1,8.7,2009-03-31
,8.7,2009-04-30
,8.7,2009-05-31
2009T2,9.1,2009-06-30
,9.1,2009-07-31
,9.1,2009-08-31
2009T3,8.3,2009-09-30
,8.3,2009-10-31
,8.3,2009-11-30
2009T4,7.7,2009-12-31
,7.7,2010-01-31
,7.7,2010-02-28
2010T1,7.3,2010-03-31
,7.3,2010-04-30
,7.3,2010-05-31
2010T2,7.2,2010-06-30
,7.2,2010-07-31
,7.2,2010-08-31
2010T3,7.1,2010-09-30
,7.1,2010-10-31
,7.1,2010-11-30
2010T4,6.4,2010-12-31
,6.4,2011-01-31
,6.4,2011-02-28
2011T1,6.6,2011-03-31
,6.6,2011-04-30
,6.6,2011-05-31
2011T2,6.7,2011-06-30
,6.7,2011-07-31
,6.7,2011-08-31
2011T3,6.0,2011-09-30
,6.0,2011-10-31
,6.0,2011-11-30
2011T4,6.2,2011-12-31
,6.2,2012-01-31
,6.2,2012-02-29
2012T1,6.3,2012-03-31
,6.3,2012-04-30
,6.3,2012-05-31
2012T2,6.4,2012-06-30
,6.4,2012-07-31
,6.4,2012-08-31
2012T3,6.4,2012-09-30
,6.4,2012-10-31
,6.4,2012-11-30
2012T4,5.9,2012-12-31
,5.9,2013-01-31
,5.9,2013-02-28
2013T1,6.3,2013-03-31
,6.3,2013-04-30
,6.3,2013-05-31
2013T2,6.5,2013-06-30
,6.5,2013-07-31
,6.5,2013-08-31
2013T3,6.1,2013-09-30
,6.1,2013-10-31
,6.1,2013-11-30
2013T4,5.6,2013-12-31
,5.6,2014-01-31
,5.6,2014-02-28
2014T1,6.1,2014-03-31
,6.1,2014-04-30
,6.1,2014-05-31
2014T2,6.0,2014-06-30
,6.0,2014-07-31
,6.0,2014-08-31
2014T3,5.7,2014-09-30
,5.7,2014-10-31
,5.7,2014-11-30
2014T4,5.5,2014-12-31
,5.5,2015-01-31
,5.5,2015-02-28
2015T1,5.7,2015-03-31
,5.7,2015-04-30
,5.7,2015-05-31
2015T2,6.1,2015-06-30
,6.1,2015-07-31
,6.1,2015-08-31
2015T3,5.7,2015-09-30
,5.7,2015-10-31
,5.7,2015-11-30
2015T4,5.8,2015-12-31
,5.8,2016-01-31
,5.8,2016-02-29
2016T1,6.7,2016-03-31
,6.7,2016-04-30
,6.7,2016-05-31
2016T2,6.6,2016-06-30
,6.6,2016-07-31
,6.6,2016-08-31
2016T3,6.1,2016-09-30
,6.1,2016-10-31
,6.1,2016-11-30
2016T4,6.4,2016-12-31
