construccion,fecha
13.4,2008-03-31
13.4,2008-04-30
13.4,2008-05-31
15.8,2008-06-30
15.8,2008-07-31
15.8,2008-08-31
16.7,2008-09-30
16.7,2008-10-31
16.7,2008-11-30
18.1,2008-12-31
18.1,2009-01-31
18.1,2009-02-28
18.3,2009-03-31
18.3,2009-04-30
18.3,2009-05-31
16.7,2009-06-30
16.7,2009-07-31
16.7,2009-08-31
14.8,2009-09-30
14.8,2009-10-31
14.8,2009-11-30
14.1,2009-12-31
14.1,2010-01-31
14.1,2010-02-28
12.9,2010-03-31
12.9,2010-04-30
12.9,2010-05-31
11.2,2010-06-30
11.2,2010-07-31
11.2,2010-08-31
10.0,2010-09-30
10.0,2010-10-31
10.0,2010-11-30
9.3,2010-12-31
9.3,2011-01-31
9.3,2011-02-28
8.9,2011-03-31
8.9,2011-04-30
8.9,2011-05-31
8.7,2011-06-30
8.7,2011-07-31
8.7,2011-08-31
9.0,2011-09-30
9.0,2011-10-31
9.0,2011-11-30
8.5,2011-12-31
8.5,2012-01-31
8.5,2012-02-29
8.5,2012-03-31
8.5,2012-04-30
8.5,2012-05-31
7.7,2012-06-30
7.7,2012-07-31
7.7,2012-08-31
7.0,2012-09-30
7.0,2012-10-31
7.0,2012-11-30
6.5,2012-12-31
6.5,2013-01-31
6.5,2013-02-28
6.0,2013-03-31
6.0,2013-04-30
6.0,2013-05-31
5.8,2013-06-30
5.8,2013-07-31
5.8,2013-08-31
5.4,2013-09-30
5.4,2013-10-31
5.4,2013-11-30
5.0,2013-12-31
5.0,2014-01-31
5.0,2014-02-28
5.2,2014-03-31
5.2,2014-04-30
5.2,2014-05-31
4.6,2014-06-30
4.6,2014-07-31
4.6,2014-08-31
4.1,2014-09-30
4.1,2014-10-31
4.1,2014-11-30
4.2,2014-12-31
4.2,2015-01-31
4.2,2015-02-28
4.1,2015-03-31
4.1,2015-04-30
4.1,2015-05-31
4.0,2015-06-30
4.0,2015-07-31
4.0,2015-08-31
4.0,2015-09-30
4.0,2015-10-31
4.0,2015-11-30
4.3,2015-12-31
4.3,2016-01-31
4.3,2016-02-29
4.3,2016-03-31
4.3,2016-04-30
4.3,2016-05-31
3.9,2016-06-30
3.9,2016-07-31
3.9,2016-08-31
4.0,2016-09-30
4.0,2016-10-31
4.0,2016-11-30
4.1,2016-12-31
