fecha,agricultura,manufacturera,construccion,comercio,hosteleria,actividades administrativas,administraciones publicas,sanitario
2008-03-31,5.2,7.2,13.4,9.1,8.1,3.4,2.9,2.7
2008-04-30,5.2,7.2,13.4,9.1,8.1,3.4,2.9,2.7
2008-05-31,5.2,7.2,13.4,9.1,8.1,3.4,2.9,2.7
2008-06-30,5.1,7.3,15.8,10.1,7.3,3.0,2.8,2.6
2008-07-31,5.1,7.3,15.8,10.1,7.3,3.0,2.8,2.6
2008-08-31,5.1,7.3,15.8,10.1,7.3,3.0,2.8,2.6
2008-09-30,5.5,7.7,16.7,9.0,6.6,3.2,2.9,1.8
2008-10-31,5.5,7.7,16.7,9.0,6.6,3.2,2.9,1.8
2008-11-30,5.5,7.7,16.7,9.0,6.6,3.2,2.9,1.8
2008-12-31,4.7,8.5,18.1,8.6,7.1,3.4,2.5,2.2
2009-01-31,4.7,8.5,18.1,8.6,7.1,3.4,2.5,2.2
2009-02-28,4.7,8.5,18.1,8.6,7.1,3.4,2.5,2.2
2009-03-31,4.2,8.9,18.3,8.7,6.9,3.8,2.4,2.0
2009-04-30,4.2,8.9,18.3,8.7,6.9,3.8,2.4,2.0
2009-05-31,4.2,8.9,18.3,8.7,6.9,3.8,2.4,2.0
2009-06-30,4.7,8.9,16.7,9.1,6.2,3.7,2.6,1.9
2009-07-31,4.7,8.9,16.7,9.1,6.2,3.7,2.6,1.9
2009-08-31,4.7,8.9,16.7,9.1,6.2,3.7,2.6,1.9
2009-09-30,5.2,8.3,14.8,8.3,6.0,3.3,2.6,1.7
2009-10-31,5.2,8.3,14.8,8.3,6.0,3.3,2.6,1.7
2009-11-30,5.2,8.3,14.8,8.3,6.0,3.3,2.6,1.7
2009-12-31,4.5,7.3,14.1,7.7,6.4,3.1,2.5,2.1
2010-01-31,4.5,7.3,14.1,7.7,6.4,3.1,2.5,2.1
2010-02-28,4.5,7.3,14.1,7.7,6.4,3.1,2.5,2.1
2010-03-31,4.2,6.2,12.9,7.3,6.8,3.0,2.9,2.4
2010-04-30,4.2,6.2,12.9,7.3,6.8,3.0,2.9,2.4
2010-05-31,4.2,6.2,12.9,7.3,6.8,3.0,2.9,2.4
2010-06-30,5.0,5.4,11.2,7.2,5.7,2.8,3.0,2.1
2010-07-31,5.0,5.4,11.2,7.2,5.7,2.8,3.0,2.1
2010-08-31,5.0,5.4,11.2,7.2,5.7,2.8,3.0,2.1
2010-09-30,5.0,5.1,10.0,7.1,5.4,2.5,3.0,1.9
2010-10-31,5.0,5.1,10.0,7.1,5.4,2.5,3.0,1.9
2010-11-30,5.0,5.1,10.0,7.1,5.4,2.5,3.0,1.9
2010-12-31,4.4,4.6,9.3,6.4,6.2,2.9,3.1,2.1
2011-01-31,4.4,4.6,9.3,6.4,6.2,2.9,3.1,2.1
2011-02-28,4.4,4.6,9.3,6.4,6.2,2.9,3.1,2.1
2011-03-31,4.6,4.8,8.9,6.6,6.0,2.8,3.2,2.3
2011-04-30,4.6,4.8,8.9,6.6,6.0,2.8,3.2,2.3
2011-05-31,4.6,4.8,8.9,6.6,6.0,2.8,3.2,2.3
2011-06-30,5.0,4.7,8.7,6.7,5.1,2.5,3.2,2.0
2011-07-31,5.0,4.7,8.7,6.7,5.1,2.5,3.2,2.0
2011-08-31,5.0,4.7,8.7,6.7,5.1,2.5,3.2,2.0
2011-09-30,5.0,4.1,9.0,6.0,5.1,2.5,3.5,1.9
2011-10-31,5.0,4.1,9.0,6.0,5.1,2.5,3.5,1.9
2011-11-30,5.0,4.1,9.0,6.0,5.1,2.5,3.5,1.9
2011-12-31,3.9,4.3,8.5,6.2,6.1,2.6,3.6,2.7
2012-01-31,3.9,4.3,8.5,6.2,6.1,2.6,3.6,2.7
2012-02-29,3.9,4.3,8.5,6.2,6.1,2.6,3.6,2.7
2012-03-31,4.7,4.9,8.5,6.3,6.5,2.8,3.3,2.6
2012-04-30,4.7,4.9,8.5,6.3,6.5,2.8,3.3,2.6
2012-05-31,4.7,4.9,8.5,6.3,6.5,2.8,3.3,2.6
2012-06-30,4.9,5.3,7.7,6.4,5.4,2.4,3.1,2.7
2012-07-31,4.9,5.3,7.7,6.4,5.4,2.4,3.1,2.7
2012-08-31,4.9,5.3,7.7,6.4,5.4,2.4,3.1,2.7
2012-09-30,5.1,5.0,7.0,6.4,4.7,2.2,2.8,1.9
2012-10-31,5.1,5.0,7.0,6.4,4.7,2.2,2.8,1.9
2012-11-30,5.1,5.0,7.0,6.4,4.7,2.2,2.8,1.9
2012-12-31,4.4,4.6,6.5,5.9,5.9,2.3,2.4,2.2
2013-01-31,4.4,4.6,6.5,5.9,5.9,2.3,2.4,2.2
2013-02-28,4.4,4.6,6.5,5.9,5.9,2.3,2.4,2.2
2013-03-31,4.7,4.8,6.0,6.3,6.5,2.4,2.3,2.2
2013-04-30,4.7,4.8,6.0,6.3,6.5,2.4,2.3,2.2
2013-05-31,4.7,4.8,6.0,6.3,6.5,2.4,2.3,2.2
2013-06-30,4.5,4.3,5.8,6.5,5.6,2.4,2.2,1.9
2013-07-31,4.5,4.3,5.8,6.5,5.6,2.4,2.2,1.9
2013-08-31,4.5,4.3,5.8,6.5,5.6,2.4,2.2,1.9
2013-09-30,4.8,3.9,5.4,6.1,4.9,2.3,2.0,1.2
2013-10-31,4.8,3.9,5.4,6.1,4.9,2.3,2.0,1.2
2013-11-30,4.8,3.9,5.4,6.1,4.9,2.3,2.0,1.2
2013-12-31,4.2,3.8,5.0,5.6,6.0,2.2,2.2,1.7
2014-01-31,4.2,3.8,5.0,5.6,6.0,2.2,2.2,1.7
2014-02-28,4.2,3.8,5.0,5.6,6.0,2.2,2.2,1.7
2014-03-31,4.1,3.8,5.2,6.1,6.0,2.6,2.2,1.7
2014-04-30,4.1,3.8,5.2,6.1,6.0,2.6,2.2,1.7
2014-05-31,4.1,3.8,5.2,6.1,6.0,2.6,2.2,1.7
2014-06-30,4.6,3.5,4.6,6.0,5.4,2.4,2.3,1.6
2014-07-31,4.6,3.5,4.6,6.0,5.4,2.4,2.3,1.6
2014-08-31,4.6,3.5,4.6,6.0,5.4,2.4,2.3,1.6
2014-09-30,5.3,3.3,4.1,5.7,5.3,2.0,2.4,1.3
2014-10-31,5.3,3.3,4.1,5.7,5.3,2.0,2.4,1.3
2014-11-30,5.3,3.3,4.1,5.7,5.3,2.0,2.4,1.3
2014-12-31,5.0,3.5,4.2,5.5,6.0,2.2,2.5,1.6
2015-01-31,5.0,3.5,4.2,5.5,6.0,2.2,2.5,1.6
2015-02-28,5.0,3.5,4.2,5.5,6.0,2.2,2.5,1.6
2015-03-31,5.2,3.5,4.1,5.7,6.4,2.4,2.5,1.8
2015-04-30,5.2,3.5,4.1,5.7,6.4,2.4,2.5,1.8
2015-05-31,5.2,3.5,4.1,5.7,6.4,2.4,2.5,1.8
2015-06-30,4.9,3.1,4.0,6.1,5.3,2.4,2.9,1.8
2015-07-31,4.9,3.1,4.0,6.1,5.3,2.4,2.9,1.8
2015-08-31,4.9,3.1,4.0,6.1,5.3,2.4,2.9,1.8
2015-09-30,5.3,3.3,4.0,5.7,5.4,2.1,3.5,1.5
2015-10-31,5.3,3.3,4.0,5.7,5.4,2.1,3.5,1.5
2015-11-30,5.3,3.3,4.0,5.7,5.4,2.1,3.5,1.5
2015-12-31,4.7,3.3,4.3,5.8,6.7,2.4,3.4,1.9
2016-01-31,4.7,3.3,4.3,5.8,6.7,2.4,3.4,1.9
2016-02-29,4.7,3.3,4.3,5.8,6.7,2.4,3.4,1.9
2016-03-31,5.4,3.5,4.3,6.7,6.7,2.4,3.3,1.9
2016-04-30,5.4,3.5,4.3,6.7,6.7,2.4,3.3,1.9
2016-05-31,5.4,3.5,4.3,6.7,6.7,2.4,3.3,1.9
2016-06-30,5.5,3.6,3.9,6.6,6.4,2.4,3.3,1.9
2016-07-31,5.5,3.6,3.9,6.6,6.4,2.4,3.3,1.9
2016-08-31,5.5,3.6,3.9,6.6,6.4,2.4,3.3,1.9
2016-09-30,5.6,3.5,4.0,6.1,5.5,2.3,3.1,1.5
2016-10-31,5.6,3.5,4.0,6.1,5.5,2.3,3.1,1.5
2016-11-30,5.6,3.5,4.0,6.1,5.5,2.3,3.1,1.5
2016-12-31,5.1,3.7,4.1,6.4,7.2,2.5,2.8,2.3
